10.00	4.41
3.00	14.68
18.00	32.50
71.00	53.84
95.00	97.74
8.00	31.90
9.00	35.47
2.00	10.17
1.00	5.00
7.00	0.00
141.00	115.06
95.00	78.74
2.00	25.48
1.00	15.78
120.00	84.31
2.00	15.51
8.00	16.14
2.00	15.55
50.00	33.95
34.00	32.50
116.00	35.90
32.00	14.74
30.00	37.36
16.00	22.80
12.00	12.50
141.00	65.69
3.00	5.66
12.00	0.00
35.00	33.46
8.00	21.96
1.00	0.00
50.00	35.99
14.00	27.71
14.00	9.34
8.00	13.14
141.00	93.38
7.00	6.55
32.00	32.79
29.00	32.84
29.00	23.40
17.00	52.77
14.00	16.86
27.00	11.19
141.00	105.36
6.00	6.12
50.00	50.17
31.00	34.29
141.00	95.85
31.00	20.78
11.00	43.01
41.00	48.26
56.00	44.28
2.00	0.00
53.00	32.71
14.00	25.06
2.00	12.66
141.00	47.08
18.00	26.00
17.00	13.22
6.00	21.30
6.00	18.39
19.00	89.70
6.00	3.12
122.00	98.79
141.00	90.53
76.00	31.79
141.00	74.57
11.00	25.39
1.00	22.56
30.00	28.73
86.00	41.64
56.00	92.10
10.00	8.72
3.00	3.97
141.00	92.86
14.00	42.67
32.00	46.27
14.00	18.93
48.00	29.13
54.00	9.30
71.00	38.78
61.00	17.49
6.00	32.51
1.00	0.00
6.00	0.00
51.00	84.20
49.00	25.58
9.00	0.00
13.00	19.83
31.00	42.69
11.00	11.40
86.00	30.85
27.00	33.78
4.00	0.18
140.00	74.10
49.00	28.52
37.00	46.28
4.00	13.74
18.00	11.24
13.00	0.00
47.00	54.39
68.00	44.08
41.00	70.75
13.00	20.22
14.00	12.80
13.00	0.00
34.00	11.65
13.00	29.61
30.00	46.88
35.00	29.38
9.00	4.05
140.00	58.73
45.00	25.23
15.00	0.00
49.00	72.23
34.00	32.47
6.00	16.81
44.00	21.19
113.00	61.27
41.00	48.73
30.00	58.61
49.00	56.04
40.00	26.35
60.00	57.56
66.00	42.80
16.00	38.41
10.00	11.81
51.00	24.52
50.00	53.51
101.00	54.10
14.00	50.88
