model_code,car_type,trans_mode,fuel_type,branch,affiliate_code,region,trading_complex,refund,vain_effort,guarantee,selected_color,reg_month,adv_month,maker_code,class_code,car_code,grade_code
12511.0,,,,,,,,,,,,,,,,,
12512.0,,,,,,,,,,,,,,,,,
12515.0,,,,,,,,,,,,,,,,,
12516.0,,,,,,,,,,,,,,,,,
12517.0,,,,,,,,,,,,,,,,,
12519.0,,,,,,,,,,,,,,,,,
12520.0,,,,,,,,,,,,,,,,,
12521.0,,,,,,,,,,,,,,,,,
12522.0,,,,,,,,,,,,,,,,,
12524.0,,,,,,,,,,,,,,,,,
12525.0,,,,,,,,,,,,,,,,,
12526.0,,,,,,,,,,,,,,,,,
12527.0,,,,,,,,,,,,,,,,,
12528.0,,,,,,,,,,,,,,,,,
12529.0,,,,,,,,,,,,,,,,,
12530.0,,,,,,,,,,,,,,,,,
12532.0,,,,,,,,,,,,,,,,,
12533.0,,,,,,,,,,,,,,,,,
12534.0,,,,,,,,,,,,,,,,,
12535.0,,,,,,,,,,,,,,,,,
12536.0,,,,,,,,,,,,,,,,,
12538.0,,,,,,,,,,,,,,,,,
12539.0,,,,,,,,,,,,,,,,,
12540.0,,,,,,,,,,,,,,,,,
12542.0,,,,,,,,,,,,,,,,,
12543.0,,,,,,,,,,,,,,,,,
12545.0,,,,,,,,,,,,,,,,,
12546.0,,,,,,,,,,,,,,,,,
12548.0,,,,,,,,,,,,,,,,,
12549.0,,,,,,,,,,,,,,,,,
12550.0,,,,,,,,,,,,,,,,,
12551.0,,,,,,,,,,,,,,,,,
12552.0,,,,,,,,,,,,,,,,,
12553.0,,,,,,,,,,,,,,,,,
12554.0,,,,,,,,,,,,,,,,,
12555.0,,,,,,,,,,,,,,,,,
12556.0,,,,,,,,,,,,,,,,,
12557.0,,,,,,,,,,,,,,,,,
